date,open,high,low,close,hour,minute,weekday,time_slot,rsi,macd,macd_signal,sma_20,bb_upper,bb_lower,allowed_slot,macd_cross,macd_cross_prev,signal,next_close,pnl,cum_pnl
2015-01-09 14:15:00,8224.75,8243.55,8224.75,8242.1,14,15,4,14:15,37.76994270603759,-4.713216398304212,-4.848540781947495,8239.032500000001,8270.693721092248,8207.371278907754,True,0.13532438364328314,-1.0420660457368625,1,8236.75,-5.350000000000364,-5.350000000000364
2015-01-12 09:40:00,8257.05,8271.25,8256.35,8271.1,9,40,0,09:40,63.966942148760154,7.873882886480715,8.068248371934535,8259.92,8299.419052620215,8220.420947379786,True,-0.1943654854538206,0.08083781823688341,-1,8270.5,0.6000000000003638,-4.75
2015-01-12 09:55:00,8274.5,8287.6,8272.9,8285.9,9,55,0,09:55,61.896551724137524,8.183988764945752,7.912368447400175,8266.602499999999,8299.38525340865,8233.819746591347,True,0.2716203175455769,-0.42662411236600306,1,8281.5,-4.399999999999636,-9.149999999999636
2015-01-12 10:05:00,8281.1,8288.05,8273.45,8274.05,10,5,0,10:05,53.66699702675887,7.772862144969622,7.95288605481433,8270.5375,8297.600892929231,8243.47410707077,True,-0.18002390984470829,0.3420943395013243,-1,8284.1,-10.050000000001091,-19.200000000000728
2015-01-14 15:00:00,8263.85,8281.0,8262.3,8279.8,15,0,2,15:00,63.60829289810231,0.9559815490374604,0.5572674498642024,8266.01,8295.219814500495,8236.800185499505,True,0.39871409917325795,-0.5362257878159308,1,8271.6,-8.199999999998909,-27.399999999999636
2015-01-15 15:05:00,8506.95,8506.95,8497.8,8502.35,15,5,3,15:05,64.55294863665327,12.544991304819632,13.098742005546622,8495.875,8526.09328481012,8465.65671518988,True,-0.5537507007269902,0.5350354349875115,-1,8510.75,-8.399999999999636,-35.79999999999927
2015-01-19 09:35:00,8557.6,8557.9,8549.25,8549.9,9,35,0,09:35,63.04880766659251,11.303432790740771,9.734036830450219,8503.929999999998,8551.35844360911,8456.501556390887,True,1.569395960290553,-1.2228794173286754,1,8553.95,4.050000000001091,-31.74999999999818
2015-01-19 14:30:00,8558.35,8560.7,8556.2,8556.95,14,30,0,14:30,48.26427771556639,3.244635668839692,3.650534766895185,8558.555,8568.581958400799,8548.528041599202,True,-0.4058990980554933,0.07307222220537657,-1,8554.05,2.900000000001455,-28.849999999996726
2015-01-20 09:30:00,8584.8,8589.0,8579.75,8589.0,9,30,1,09:30,64.86650485436932,1.7764726599016285,0.35362491331958457,8558.2425,8577.066372721758,8539.418627278243,True,1.422847746582044,-1.1965817060060582,1,8592.25,3.25,-25.599999999996726
2015-01-21 14:45:00,8721.25,8731.45,8720.4,8731.2,14,45,2,14:45,51.09135004042066,1.2097945329878712,0.7311726849231042,8720.6975,8733.29275704646,8708.10224295354,True,0.47862184806476704,-0.42567155658383704,1,8727.95,-3.25,-28.849999999996726
