EntryDate,TotalTrades,AveragePnL,TotalPnL
2015-01-09,1,125.87811358755657,125.87811358755657
2015-01-12,2,-80.5568710211289,-161.1137420422578
2015-01-14,1,803.1783315801234,803.1783315801234
2015-01-15,1,-327.7015902358032,-327.7015902358032
2015-01-19,2,-133.03696587868143,-266.07393175736286
2015-01-20,1,739.1474962282289,739.1474962282289
2015-01-21,1,124.82405608798561,124.82405608798561
2015-01-22,1,527.5690892815225,527.5690892815225
2015-01-23,2,-66.79713009984981,-133.59426019969962
2015-01-27,2,58.72899922832269,117.45799845664538
2015-01-28,1,-67.10990870823775,-67.10990870823775
2015-01-29,2,-68.41915416173424,-136.83830832346848
2015-01-30,1,406.44743105830634,406.44743105830634
2015-02-02,2,-72.51191859836052,-145.02383719672105
2015-02-03,2,-133.96104967879188,-267.92209935758376
2015-02-04,1,144.3000567700781,144.3000567700781
2015-02-05,1,38.90545393569299,38.90545393569299
2015-02-10,1,170.10180809389342,170.10180809389342
2015-02-11,1,-52.16266016308638,-52.16266016308638
2015-02-12,1,-51.451071893018856,-51.451071893018856
2015-02-13,2,105.68618393208116,211.37236786416233
2015-02-16,1,-74.37614823042657,-74.37614823042657
2015-02-18,1,47.512283499394314,47.512283499394314
2015-02-19,2,-48.69524444600875,-97.3904888920175
2015-02-20,2,-1.2557080312568445,-2.511416062513689
2015-02-23,1,-71.6890498072149,-71.6890498072149
2015-02-24,2,8.119479805750963,16.238959611501926
2015-02-26,2,-69.99157004124523,-139.98314008249045
2015-02-27,2,-80.6316963463641,-161.2633926927282
2015-03-03,2,-56.91600190868927,-113.83200381737853
2015-03-04,1,557.3383954957429,557.3383954957429
2015-03-05,1,-75.54773612788358,-75.54773612788358
2015-03-09,1,264.8473540478341,264.8473540478341
2015-03-10,2,-55.85557110290377,-111.71114220580753
2015-03-12,2,-61.02147399172443,-122.04294798344885
2015-03-13,2,-92.99960575724648,-185.99921151449297
2015-03-16,2,-102.05829903686923,-204.11659807373846
2015-03-17,1,158.63174901699585,158.63174901699585
2015-03-18,1,-62.18257399724742,-62.18257399724742
2015-03-19,2,191.1994841186356,382.3989682372712
2015-03-20,2,-114.31913904861828,-228.63827809723657
2015-03-23,2,-87.33549766581014,-174.67099533162028
2015-03-24,1,79.96519902743762,79.96519902743762
2015-03-25,2,469.6575316824927,939.3150633649853
2015-03-27,1,-72.50585343076422,-72.50585343076422
2015-03-30,1,-65.9333899468258,-65.9333899468258
2015-03-31,1,-66.0558275536217,-66.0558275536217
2015-04-01,2,261.3579674415649,522.7159348831298
2015-04-06,1,-104.13919715783456,-104.13919715783456
2015-04-07,1,-82.98348364333525,-82.98348364333525
2015-04-09,2,-33.909634722300986,-67.81926944460197
2015-04-10,2,-0.7475251231255164,-1.4950502462510329
2015-04-13,2,-70.25803683344861,-140.51607366689723
2015-04-15,1,927.4540023562402,927.4540023562402
2015-04-17,1,53.007130033733716,53.007130033733716
2015-04-22,1,-86.99950655702807,-86.99950655702807
2015-04-23,1,260.08704880543695,260.08704880543695
2015-04-24,2,42.22840567621164,84.45681135242329
2015-04-27,1,-69.41295132080717,-69.41295132080717
2015-04-28,1,115.18073274602969,115.18073274602969
2015-04-29,1,211.31327315103715,211.31327315103715
2015-04-30,1,-116.85613570028758,-116.85613570028758
2015-05-04,1,-117.01176777917586,-117.01176777917586
2015-05-05,1,-57.6364773857934,-57.6364773857934
2015-05-06,1,788.6713103783566,788.6713103783566
2015-05-07,1,45.78117354666057,45.78117354666057
2015-05-08,2,-176.2153616430012,-352.4307232860024
2015-05-11,1,274.42115014356085,274.42115014356085
2015-05-13,1,-85.64562231455139,-85.64562231455139
2015-05-15,2,-58.331395942613355,-116.66279188522671
2015-05-18,1,-111.21202533713306,-111.21202533713306
2015-05-19,1,-55.42619260994705,-55.42619260994705
2015-05-21,1,-64.24797048567925,-64.24797048567925
2015-05-22,1,222.99309469290682,222.99309469290682
2015-05-26,2,-144.61720906203777,-289.23441812407555
2015-05-27,2,-85.29342916214088,-170.58685832428176
2015-05-28,1,709.4423070262942,709.4423070262942
2015-05-29,1,258.9835881441938,258.9835881441938
2015-06-01,1,-85.33090891045903,-85.33090891045903
2015-06-02,1,-122.16851572570751,-122.16851572570751
2015-06-03,1,30.858399632134525,30.858399632134525
2015-06-04,2,-70.86920326335556,-141.73840652671112
2015-06-05,2,-98.36799890468636,-196.73599780937272
2015-06-08,1,-73.16983683877213,-73.16983683877213
2015-06-09,1,-385.47857608452097,-385.47857608452097
2015-06-10,1,95.80608445111841,95.80608445111841
2015-06-11,2,291.06434718442483,582.1286943688497
2015-06-12,1,39.92799156298736,39.92799156298736
2015-06-17,2,-80.00327951161532,-160.00655902323064
2015-06-18,1,87.40130123732033,87.40130123732033
2015-06-19,1,37.48334353120754,37.48334353120754
2015-06-22,1,513.9624718195456,513.9624718195456
2015-06-23,2,-71.76279020746753,-143.52558041493506
2015-06-24,1,43.34597475918314,43.34597475918314
2015-06-25,1,173.41448160661386,173.41448160661386
2015-06-26,2,-54.789020907559134,-109.57804181511827
2015-06-30,1,549.5502134131705,549.5502134131705
2015-07-01,2,-61.9434263543793,-123.8868527087586
2015-07-02,2,-74.58753355183775,-149.1750671036755
2015-07-03,2,-74.95012970977527,-149.90025941955054
2015-07-07,1,193.4390618858638,193.4390618858638
2015-07-08,1,83.06930111598118,83.06930111598118
2015-07-09,1,-125.20876727815877,-125.20876727815877
2015-07-10,2,-22.600152105710656,-45.20030421142131
2015-07-13,1,-56.49447528637856,-56.49447528637856
