time_slot,Monday,Tuesday,Wednesday,Thursday,Friday
09:30,23.939553752535513,21.314257028112547,20.25518962075856,19.76109999999997,21.478571428571353
09:35,20.384311740890737,18.36867469879519,17.792914171656676,17.70719999999997,19.12955010224948
09:40,18.760323886639657,17.470582329317192,17.033732534930145,16.348499999999934,18.11850715746429
09:45,18.84159919028332,17.589959839357476,16.957784431137743,17.35840000000004,18.42632653061226
09:50,16.955161943319837,15.691465863453825,15.751397205588823,15.02629999999999,17.42877551020413
09:55,15.967408906882582,15.913353413654626,14.732734530938115,15.139700000000085,16.013775510204113
10:00,17.10921052631585,15.815863453815249,15.706487025948064,15.069899999999997,16.60367346938777
10:05,15.727125506072905,14.403815261044198,14.740219560878305,14.642299999999995,16.780714285714282
10:10,14.214068825910864,13.985341365461908,13.670800000000023,13.5288000000001,14.914897959183575
10:15,15.547368421052585,14.60863453815265,14.049700000000001,13.927899999999987,15.962857142857136
10:20,13.47945344129561,13.560542168674706,13.718100000000016,13.13840000000003,16.353775510204002
10:25,13.10526315789478,13.327967806841054,12.755599999999985,12.801299999999983,14.082551020408172
10:30,13.171659919028428,13.276961770623702,13.342399999999973,13.356400000000033,15.109285714285667
10:35,13.142611336032466,12.790442655935653,12.602899999999998,12.23500000000002,14.441326530612221
10:40,13.267611336032365,12.65150602409643,12.218000000000018,12.395999999999992,13.498877551020353
10:45,12.656275303643787,12.49036144578311,11.837600000000021,12.401499999999968,14.190306122448966
10:50,12.10303643724698,11.84618473895582,11.435899999999954,11.843800000000028,13.148163265306165
10:55,12.070445344129505,11.985943775100406,11.884000000000055,11.579499999999884,13.185510204081586
11:00,12.35809716599184,12.920481927710751,11.856900000000063,12.337799999999996,13.368061224489791
11:05,12.40566801619437,12.27887323943661,11.452799999999968,11.868199999999993,12.631938775510129
11:10,11.811234817813782,11.612877263581517,10.987600000000091,11.565699999999973,13.008265306122446
11:15,12.311234817813753,12.213380281690142,11.403000000000068,12.34740000000003,12.635510204081685
11:20,11.873582995951464,11.78953722334007,11.044399999999994,10.902899999999914,12.170306122448993
11:25,11.460121457489862,11.057545271629706,11.569500000000021,10.866300000000038,12.537551020408136
11:30,11.725506072874456,11.797987927565345,12.374599999999935,12.088399999999963,12.569489795918427
11:35,11.534716599190277,11.490643863179141,11.068900000000092,11.38060000000001,12.27316326530615
11:40,10.829858299595223,11.542369477911624,10.981500000000036,11.111899999999968,11.490102040816275
11:45,11.36882591093125,11.773293172690758,11.528400000000017,11.585699999999928,11.651122448979589
11:50,11.430263157894743,10.675602409638493,10.770399999999986,11.085799999999997,11.36469387755106
11:55,11.028036437246923,11.320281124498033,10.960800000000045,11.037100000000061,11.60571428571425
12:00,11.473987854251005,11.63965863453808,11.526399999999901,11.76309999999995,12.374591836734718
12:05,11.077935222672092,11.707730923694855,11.045099999999977,11.368700000000057,11.500408163265362
12:10,11.347773279352175,11.106626506024071,10.934599999999998,11.210699999999996,11.539081632653097
12:15,11.961842105263123,11.916465863453748,11.629999999999926,11.972299999999995,12.240306122448935
12:20,11.344433198380576,11.96194779116469,11.315799999999907,11.106500000000025,11.477346938775488
12:25,11.217004048583004,11.28042168674701,10.580999999999943,11.55109999999995,11.787959183673443
12:30,12.917206477732826,13.130923694779169,12.553600000000012,12.495499999999982,13.502142857142857
12:35,11.57459514170038,12.240562248995957,11.001500000000007,11.825299999999952,13.017857142857123
12:40,11.13218623481782,12.448393574297159,11.12839999999997,11.534500000000024,12.348265306122455
12:45,12.1854251012146,12.650602409638495,11.932200000000025,12.12270000000002,12.789489795918302
12:50,11.778340080971699,12.280722891566336,11.669000000000056,11.656799999999995,12.078469387755103
12:55,11.902631578947362,12.123393574297134,11.840299999999973,11.937000000000067,12.104387755102088
13:00,12.531680161943418,13.704116465863471,12.60959999999998,13.22540000000012,13.569183673469388
13:05,11.667914979757109,12.634939759036214,12.428400000000027,12.412699999999967,13.308571428571462
13:10,12.176012145748999,12.840863453815272,12.013499999999999,12.433500000000047,13.214387755102049
13:15,12.687955465587091,13.631927710843387,13.273400000000017,12.905200000000004,13.119693877550999
13:20,11.934279918864059,12.748895582329322,12.488300000000036,12.661299999999976,12.271836734693814
13:25,12.123380566801671,12.639859437751007,12.375900000000048,13.177299999999985,13.136938775510224
13:30,14.01497975708495,13.894377510040202,13.828000000000003,14.419300000000014,14.842142857142777
13:35,12.7602226720648,13.202710843373566,13.47339999999991,14.168000000000022,14.359897959183684
13:40,12.491194331983772,12.85070281124496,13.664199999999967,13.28629999999994,14.11581632653064
13:45,13.280769230769323,13.519678714859396,13.325099999999953,13.942699999999993,14.36081632653059
13:50,12.667408906882695,13.774598393574324,13.569100000000077,13.81409999999997,14.803571428571384
13:55,13.108906882591143,13.866465863453833,13.326099999999943,13.878900000000012,14.006122448979653
14:00,14.237854251012099,14.912148594377586,14.637699999999985,15.656100000000055,15.812142857142842
14:05,13.693825910931139,14.079016064256988,14.098400000000048,13.881800000000021,15.217346938775517
14:10,13.683704453441315,13.87248995983933,14.464500000000044,15.109699999999943,14.89581632653057
14:15,14.472368421052607,14.9739959839357,15.196000000000028,14.754900000000033,15.920000000000021
14:20,14.357995951416946,14.60351405622491,14.07900000000002,14.553800000000072,15.796020408163253
14:25,13.842105263157835,14.126104417670648,13.848099999999999,14.916499999999996,15.731836734693882
14:30,16.50425101214567,15.976606425702819,16.260200000000005,16.609099999999962,17.345510204081567
14:35,14.372165991902785,14.965160642570227,14.855599999999995,14.761099999999963,15.63193877551018
