Timestamp,time_slot,pnl
2015-01-09 14:15:00,14:15,-5.350000000000364
2015-01-12 09:40:00,09:40,0.6000000000003638
2015-01-12 09:55:00,09:55,-4.399999999999636
2015-01-12 10:05:00,10:05,-10.050000000001091
2015-01-14 15:00:00,15:00,-8.199999999998909
2015-01-15 15:05:00,15:05,-8.399999999999636
2015-01-19 09:35:00,09:35,4.050000000001091
2015-01-19 14:30:00,14:30,2.900000000001455
2015-01-20 09:30:00,09:30,3.25
2015-01-21 14:45:00,14:45,-3.25
2015-01-22 15:00:00,15:00,2.900000000001455
2015-01-23 10:20:00,10:20,6.5
2015-01-23 13:35:00,13:35,-0.25
2015-01-23 14:40:00,14:40,-4.75
2015-01-27 09:30:00,09:30,-0.1499999999996362
2015-01-27 14:15:00,14:15,1.5
2015-01-28 09:40:00,09:40,-11.75
2015-01-29 09:35:00,09:35,-7.650000000001455
2015-01-29 13:30:00,13:30,10.399999999999636
2015-01-29 14:45:00,14:45,-2.75
2015-01-30 09:50:00,09:50,1.0499999999992724
2015-01-30 14:10:00,14:10,-0.0499999999992724
2015-01-30 15:00:00,15:00,2.3000000000010914
2015-02-02 09:35:00,09:35,-12.75
2015-02-02 09:50:00,09:50,2.349999999998545
2015-02-02 14:30:00,14:30,5.550000000001091
2015-02-03 09:30:00,09:30,1.5
2015-02-03 10:00:00,10:00,-0.6000000000003638
2015-02-04 14:15:00,14:15,-3.899999999999636
2015-02-05 09:50:00,09:50,2.600000000000364
2015-02-05 14:35:00,14:35,11.949999999998909
2015-02-10 09:35:00,09:35,16.55000000000109
2015-02-10 14:35:00,14:35,-3.5
2015-02-11 15:05:00,15:05,2.600000000000364
2015-02-12 09:40:00,09:40,-2.5500000000010914
2015-02-13 10:10:00,10:10,-3.350000000000364
2015-02-13 14:25:00,14:25,-0.8999999999996362
2015-02-16 15:00:00,15:00,13.200000000000728
2015-02-18 09:40:00,09:40,2.5
2015-02-18 15:05:00,15:05,0.3500000000003638
2015-02-19 09:40:00,09:40,3.100000000000364
2015-02-19 14:30:00,14:30,-4.400000000001455
2015-02-20 09:35:00,09:35,3.6999999999989086
2015-02-20 13:50:00,13:50,26.39999999999964
2015-02-23 09:40:00,09:40,2.5
2015-02-24 09:30:00,09:30,-0.75
2015-02-24 14:15:00,14:15,-3.5499999999992724
2015-02-26 09:35:00,09:35,5.799999999999272
2015-02-26 10:00:00,10:00,1.0500000000010914
2015-02-26 13:30:00,13:30,17.850000000000364
2015-02-26 14:10:00,14:10,-0.2999999999992724
2015-02-26 15:00:00,15:00,1.2999999999992724
2015-02-27 09:30:00,09:30,4.399999999999636
2015-02-27 14:10:00,14:10,5.550000000001091
2015-02-27 15:00:00,15:00,1.5500000000010914
2015-03-03 09:50:00,09:50,0.5
2015-03-03 14:30:00,14:30,-1.899999999999636
2015-03-03 14:35:00,14:35,1.5
2015-03-04 14:10:00,14:10,1.3999999999996362
2015-03-05 09:40:00,09:40,-2.4499999999989086
2015-03-09 09:30:00,09:30,18.799999999999272
2015-03-10 10:00:00,10:00,-9.899999999999636
2015-03-10 15:05:00,15:05,-1.9000000000014552
2015-03-12 09:30:00,09:30,-3.350000000000364
2015-03-12 14:20:00,14:20,-3.5500000000010914
2015-03-12 14:30:00,14:30,0.8500000000003638
2015-03-12 14:55:00,14:55,-10.899999999999636
2015-03-12 15:00:00,15:00,6.600000000000364
2015-03-13 10:05:00,10:05,-13.450000000000728
2015-03-13 14:50:00,14:50,0.3999999999996362
2015-03-16 09:50:00,09:50,-8.399999999999636
2015-03-16 14:15:00,14:15,-20.30000000000109
2015-03-16 14:20:00,14:20,11.049999999999272
2015-03-16 15:00:00,15:00,-0.8500000000003638
